"arrival_date_month","country","important_event","city_bookings","resort_bookings"
"April","ISL","Portuguese bookings have decreased drastically.",23,0
"July","AUS","Portugal becomes th country with more reservations again and there is an increase in City Hotel reservations from Germany.",19,4
"July","RUS","Portugal becomes th country with more reservations again and there is an increase in City Hotel reservations from Germany.",12,11
"August","ROU","Similar to 2016, Spain has surpased Germany in ammount of bookings.<br><br>Throughout this analysis we have found repeating patterns in the years such as a decrease of bookings at the start and end of the year, we have also identified the main players when it comes to reservations being: Portugal, Great Britain, Germany and Spain.<br><br>We have also seen how certain events such as a terrorist attack in another country or the portuguese beach soccerteam becoming world champion can impact local and foreign reservations<br><br>Finally, we have seen that people tend to book more City Hotel than Resort Hotel.",10,12
"July","POL","Portugal becomes th country with more reservations again and there is an increase in City Hotel reservations from Germany.",16,6
"June","CHN","A huge fire breaks out in Pedrogão Grande, burning more than 530,000 hectares and killing 64 people. The biggest and deadliest forest fire in the country’s history.<br><br>This could explain why the ammount of bookings has decreased from the previous month,.",18,4
"June","DNK","A huge fire breaks out in Pedrogão Grande, burning more than 530,000 hectares and killing 64 people. The biggest and deadliest forest fire in the country’s history.<br><br>This could explain why the ammount of bookings has decreased from the previous month,.",14,8
"March","FIN","The airport on the Portuguese island of Madeira was renamed ” Aeroporto Cristiano Ronaldo“, the player’s hometown. A bust of the player was also installed, but this caused controversy due to its “non-resemblance” to the player.<br><br>This could explain the sudden increase on bookings from France surpasing even portuguese reservations.",15,7
"May","POL","Portugal commemorates 100 years since the Fatima apparitions. An event marked by the presence of Pope Francis at the shrine to canonize Francisco and Jacinta, two of the three shepherds to whom the Virgin is said to have appeared in 1917. This is the sixth time a pope has visited Fatima, Portugal.<br><br>Furthermore, Portugal wins the Eurovision Song Contest with the song ” Amar pelos dois ” sung by Salvador Sobral. Portugal has been taking part in the contest since 1964, and it’s only in 2017 that the country experiences its first victory.<br><br>Zooming in on the plot we can see that aside from the increase in bookings from Great Britain, France, and Germany; There has been a small increase in the ammount of bookings frome Ireland in comparison to the previous months.",16,6
"March","POL","The airport on the Portuguese island of Madeira was renamed ” Aeroporto Cristiano Ronaldo“, the player’s hometown. A bust of the player was also installed, but this caused controversy due to its “non-resemblance” to the player.<br><br>This could explain the sudden increase on bookings from France surpasing even portuguese reservations.",17,4
"April","CHN","Portuguese bookings have decreased drastically.",17,3
"August","POL","Similar to 2016, Spain has surpased Germany in ammount of bookings.<br><br>Throughout this analysis we have found repeating patterns in the years such as a decrease of bookings at the start and end of the year, we have also identified the main players when it comes to reservations being: Portugal, Great Britain, Germany and Spain.<br><br>We have also seen how certain events such as a terrorist attack in another country or the portuguese beach soccerteam becoming world champion can impact local and foreign reservations<br><br>Finally, we have seen that people tend to book more City Hotel than Resort Hotel.",13,7
"February","MAR","Introduction of the “coca-cola” tax on sugary drinks. The aim is to reduce sugar consumption by the Portuguese population. The revenue generated by this tax will be used for the national health service.<br><br>This could explain why there has been a decrease in portuguese bookings for Resort Hotel and an increase in reservations for City Hotel.<br><br>Similar to what happened in 2016 there is an increase in bookings from France and Spain which shows a tendency, additionally, the increase on bookings from Great Britain has started a month earlier than what happened in the previous year.",19,1
"January","AUT","Similarly to the previous year there is a decrease in bookings from foreign countries with respect to December of the previous year but, unlike what happened on January 2016, there has been an increase of portuguese bookings for the Resort Hotel.",18,2
"June","FIN","A huge fire breaks out in Pedrogão Grande, burning more than 530,000 hectares and killing 64 people. The biggest and deadliest forest fire in the country’s history.<br><br>This could explain why the ammount of bookings has decreased from the previous month,.",15,5
"August","DNK","Similar to 2016, Spain has surpased Germany in ammount of bookings.<br><br>Throughout this analysis we have found repeating patterns in the years such as a decrease of bookings at the start and end of the year, we have also identified the main players when it comes to reservations being: Portugal, Great Britain, Germany and Spain.<br><br>We have also seen how certain events such as a terrorist attack in another country or the portuguese beach soccerteam becoming world champion can impact local and foreign reservations<br><br>Finally, we have seen that people tend to book more City Hotel than Resort Hotel.",17,2
"January","AUS","Similarly to the previous year there is a decrease in bookings from foreign countries with respect to December of the previous year but, unlike what happened on January 2016, there has been an increase of portuguese bookings for the Resort Hotel.",16,3
"January","CHE","Similarly to the previous year there is a decrease in bookings from foreign countries with respect to December of the previous year but, unlike what happened on January 2016, there has been an increase of portuguese bookings for the Resort Hotel.",15,4
"July","FIN","Portugal becomes th country with more reservations again and there is an increase in City Hotel reservations from Germany.",18,1
"June","ISR","A huge fire breaks out in Pedrogão Grande, burning more than 530,000 hectares and killing 64 people. The biggest and deadliest forest fire in the country’s history.<br><br>This could explain why the ammount of bookings has decreased from the previous month,.",19,0
"February","FIN","Introduction of the “coca-cola” tax on sugary drinks. The aim is to reduce sugar consumption by the Portuguese population. The revenue generated by this tax will be used for the national health service.<br><br>This could explain why there has been a decrease in portuguese bookings for Resort Hotel and an increase in reservations for City Hotel.<br><br>Similar to what happened in 2016 there is an increase in bookings from France and Spain which shows a tendency, additionally, the increase on bookings from Great Britain has started a month earlier than what happened in the previous year.",10,8
"June","RUS","A huge fire breaks out in Pedrogão Grande, burning more than 530,000 hectares and killing 64 people. The biggest and deadliest forest fire in the country’s history.<br><br>This could explain why the ammount of bookings has decreased from the previous month,.",12,6
"May","ISR","Portugal commemorates 100 years since the Fatima apparitions. An event marked by the presence of Pope Francis at the shrine to canonize Francisco and Jacinta, two of the three shepherds to whom the Virgin is said to have appeared in 1917. This is the sixth time a pope has visited Fatima, Portugal.<br><br>Furthermore, Portugal wins the Eurovision Song Contest with the song ” Amar pelos dois ” sung by Salvador Sobral. Portugal has been taking part in the contest since 1964, and it’s only in 2017 that the country experiences its first victory.<br><br>Zooming in on the plot we can see that aside from the increase in bookings from Great Britain, France, and Germany; There has been a small increase in the ammount of bookings frome Ireland in comparison to the previous months.",16,2
"August","CHN","Similar to 2016, Spain has surpased Germany in ammount of bookings.<br><br>Throughout this analysis we have found repeating patterns in the years such as a decrease of bookings at the start and end of the year, we have also identified the main players when it comes to reservations being: Portugal, Great Britain, Germany and Spain.<br><br>We have also seen how certain events such as a terrorist attack in another country or the portuguese beach soccerteam becoming world champion can impact local and foreign reservations<br><br>Finally, we have seen that people tend to book more City Hotel than Resort Hotel.",17,0
"August","JPN","Similar to 2016, Spain has surpased Germany in ammount of bookings.<br><br>Throughout this analysis we have found repeating patterns in the years such as a decrease of bookings at the start and end of the year, we have also identified the main players when it comes to reservations being: Portugal, Great Britain, Germany and Spain.<br><br>We have also seen how certain events such as a terrorist attack in another country or the portuguese beach soccerteam becoming world champion can impact local and foreign reservations<br><br>Finally, we have seen that people tend to book more City Hotel than Resort Hotel.",16,1
"August","LUX","Similar to 2016, Spain has surpased Germany in ammount of bookings.<br><br>Throughout this analysis we have found repeating patterns in the years such as a decrease of bookings at the start and end of the year, we have also identified the main players when it comes to reservations being: Portugal, Great Britain, Germany and Spain.<br><br>We have also seen how certain events such as a terrorist attack in another country or the portuguese beach soccerteam becoming world champion can impact local and foreign reservations<br><br>Finally, we have seen that people tend to book more City Hotel than Resort Hotel.",12,5
"June","ROU","A huge fire breaks out in Pedrogão Grande, burning more than 530,000 hectares and killing 64 people. The biggest and deadliest forest fire in the country’s history.<br><br>This could explain why the ammount of bookings has decreased from the previous month,.",9,8
"March","HUN","The airport on the Portuguese island of Madeira was renamed ” Aeroporto Cristiano Ronaldo“, the player’s hometown. A bust of the player was also installed, but this caused controversy due to its “non-resemblance” to the player.<br><br>This could explain the sudden increase on bookings from France surpasing even portuguese reservations.",15,2
"August","NOR","Similar to 2016, Spain has surpased Germany in ammount of bookings.<br><br>Throughout this analysis we have found repeating patterns in the years such as a decrease of bookings at the start and end of the year, we have also identified the main players when it comes to reservations being: Portugal, Great Britain, Germany and Spain.<br><br>We have also seen how certain events such as a terrorist attack in another country or the portuguese beach soccerteam becoming world champion can impact local and foreign reservations<br><br>Finally, we have seen that people tend to book more City Hotel than Resort Hotel.",13,3
"February","POL","Introduction of the “coca-cola” tax on sugary drinks. The aim is to reduce sugar consumption by the Portuguese population. The revenue generated by this tax will be used for the national health service.<br><br>This could explain why there has been a decrease in portuguese bookings for Resort Hotel and an increase in reservations for City Hotel.<br><br>Similar to what happened in 2016 there is an increase in bookings from France and Spain which shows a tendency, additionally, the increase on bookings from Great Britain has started a month earlier than what happened in the previous year.",8,8
"January","CYP","Similarly to the previous year there is a decrease in bookings from foreign countries with respect to December of the previous year but, unlike what happened on January 2016, there has been an increase of portuguese bookings for the Resort Hotel.",16,0
"July","HUN","Portugal becomes th country with more reservations again and there is an increase in City Hotel reservations from Germany.",10,6
"May","ARG","Portugal commemorates 100 years since the Fatima apparitions. An event marked by the presence of Pope Francis at the shrine to canonize Francisco and Jacinta, two of the three shepherds to whom the Virgin is said to have appeared in 1917. This is the sixth time a pope has visited Fatima, Portugal.<br><br>Furthermore, Portugal wins the Eurovision Song Contest with the song ” Amar pelos dois ” sung by Salvador Sobral. Portugal has been taking part in the contest since 1964, and it’s only in 2017 that the country experiences its first victory.<br><br>Zooming in on the plot we can see that aside from the increase in bookings from Great Britain, France, and Germany; There has been a small increase in the ammount of bookings frome Ireland in comparison to the previous months.",15,1
"January","AGO","Similarly to the previous year there is a decrease in bookings from foreign countries with respect to December of the previous year but, unlike what happened on January 2016, there has been an increase of portuguese bookings for the Resort Hotel.",15,0
"January","TUR","Similarly to the previous year there is a decrease in bookings from foreign countries with respect to December of the previous year but, unlike what happened on January 2016, there has been an increase of portuguese bookings for the Resort Hotel.",13,2
"May","CHN","Portugal commemorates 100 years since the Fatima apparitions. An event marked by the presence of Pope Francis at the shrine to canonize Francisco and Jacinta, two of the three shepherds to whom the Virgin is said to have appeared in 1917. This is the sixth time a pope has visited Fatima, Portugal.<br><br>Furthermore, Portugal wins the Eurovision Song Contest with the song ” Amar pelos dois ” sung by Salvador Sobral. Portugal has been taking part in the contest since 1964, and it’s only in 2017 that the country experiences its first victory.<br><br>Zooming in on the plot we can see that aside from the increase in bookings from Great Britain, France, and Germany; There has been a small increase in the ammount of bookings frome Ireland in comparison to the previous months.",14,1
"May","FIN","Portugal commemorates 100 years since the Fatima apparitions. An event marked by the presence of Pope Francis at the shrine to canonize Francisco and Jacinta, two of the three shepherds to whom the Virgin is said to have appeared in 1917. This is the sixth time a pope has visited Fatima, Portugal.<br><br>Furthermore, Portugal wins the Eurovision Song Contest with the song ” Amar pelos dois ” sung by Salvador Sobral. Portugal has been taking part in the contest since 1964, and it’s only in 2017 that the country experiences its first victory.<br><br>Zooming in on the plot we can see that aside from the increase in bookings from Great Britain, France, and Germany; There has been a small increase in the ammount of bookings frome Ireland in comparison to the previous months.",11,4
"May","RUS","Portugal commemorates 100 years since the Fatima apparitions. An event marked by the presence of Pope Francis at the shrine to canonize Francisco and Jacinta, two of the three shepherds to whom the Virgin is said to have appeared in 1917. This is the sixth time a pope has visited Fatima, Portugal.<br><br>Furthermore, Portugal wins the Eurovision Song Contest with the song ” Amar pelos dois ” sung by Salvador Sobral. Portugal has been taking part in the contest since 1964, and it’s only in 2017 that the country experiences its first victory.<br><br>Zooming in on the plot we can see that aside from the increase in bookings from Great Britain, France, and Germany; There has been a small increase in the ammount of bookings frome Ireland in comparison to the previous months.",12,3
"April","NOR","Portuguese bookings have decreased drastically.",11,3
"February","DNK","Introduction of the “coca-cola” tax on sugary drinks. The aim is to reduce sugar consumption by the Portuguese population. The revenue generated by this tax will be used for the national health service.<br><br>This could explain why there has been a decrease in portuguese bookings for Resort Hotel and an increase in reservations for City Hotel.<br><br>Similar to what happened in 2016 there is an increase in bookings from France and Spain which shows a tendency, additionally, the increase on bookings from Great Britain has started a month earlier than what happened in the previous year.",7,7
"July","TWN","Portugal becomes th country with more reservations again and there is an increase in City Hotel reservations from Germany.",2,12
"June","LUX","A huge fire breaks out in Pedrogão Grande, burning more than 530,000 hectares and killing 64 people. The biggest and deadliest forest fire in the country’s history.<br><br>This could explain why the ammount of bookings has decreased from the previous month,.",11,3
"March","RUS","The airport on the Portuguese island of Madeira was renamed ” Aeroporto Cristiano Ronaldo“, the player’s hometown. A bust of the player was also installed, but this caused controversy due to its “non-resemblance” to the player.<br><br>This could explain the sudden increase on bookings from France surpasing even portuguese reservations.",10,4
"April","DNK","Portuguese bookings have decreased drastically.",12,1
"April","ROU","Portuguese bookings have decreased drastically.",13,0
"February","AUT","Introduction of the “coca-cola” tax on sugary drinks. The aim is to reduce sugar consumption by the Portuguese population. The revenue generated by this tax will be used for the national health service.<br><br>This could explain why there has been a decrease in portuguese bookings for Resort Hotel and an increase in reservations for City Hotel.<br><br>Similar to what happened in 2016 there is an increase in bookings from France and Spain which shows a tendency, additionally, the increase on bookings from Great Britain has started a month earlier than what happened in the previous year.",13,0
"July","ISR","Portugal becomes th country with more reservations again and there is an increase in City Hotel reservations from Germany.",12,1
"July","LUX","Portugal becomes th country with more reservations again and there is an increase in City Hotel reservations from Germany.",4,9
"April","AUS","Portuguese bookings have decreased drastically.",6,6
"August","MEX","Similar to 2016, Spain has surpased Germany in ammount of bookings.<br><br>Throughout this analysis we have found repeating patterns in the years such as a decrease of bookings at the start and end of the year, we have also identified the main players when it comes to reservations being: Portugal, Great Britain, Germany and Spain.<br><br>We have also seen how certain events such as a terrorist attack in another country or the portuguese beach soccerteam becoming world champion can impact local and foreign reservations<br><br>Finally, we have seen that people tend to book more City Hotel than Resort Hotel.",12,0
"August","RUS","Similar to 2016, Spain has surpased Germany in ammount of bookings.<br><br>Throughout this analysis we have found repeating patterns in the years such as a decrease of bookings at the start and end of the year, we have also identified the main players when it comes to reservations being: Portugal, Great Britain, Germany and Spain.<br><br>We have also seen how certain events such as a terrorist attack in another country or the portuguese beach soccerteam becoming world champion can impact local and foreign reservations<br><br>Finally, we have seen that people tend to book more City Hotel than Resort Hotel.",9,3
"March","AGO","The airport on the Portuguese island of Madeira was renamed ” Aeroporto Cristiano Ronaldo“, the player’s hometown. A bust of the player was also installed, but this caused controversy due to its “non-resemblance” to the player.<br><br>This could explain the sudden increase on bookings from France surpasing even portuguese reservations.",11,1
"March","DNK","The airport on the Portuguese island of Madeira was renamed ” Aeroporto Cristiano Ronaldo“, the player’s hometown. A bust of the player was also installed, but this caused controversy due to its “non-resemblance” to the player.<br><br>This could explain the sudden increase on bookings from France surpasing even portuguese reservations.",11,1
"May","MOZ","Portugal commemorates 100 years since the Fatima apparitions. An event marked by the presence of Pope Francis at the shrine to canonize Francisco and Jacinta, two of the three shepherds to whom the Virgin is said to have appeared in 1917. This is the sixth time a pope has visited Fatima, Portugal.<br><br>Furthermore, Portugal wins the Eurovision Song Contest with the song ” Amar pelos dois ” sung by Salvador Sobral. Portugal has been taking part in the contest since 1964, and it’s only in 2017 that the country experiences its first victory.<br><br>Zooming in on the plot we can see that aside from the increase in bookings from Great Britain, France, and Germany; There has been a small increase in the ammount of bookings frome Ireland in comparison to the previous months.",12,0
"April","AGO","Portuguese bookings have decreased drastically.",8,3
"August","ISR","Similar to 2016, Spain has surpased Germany in ammount of bookings.<br><br>Throughout this analysis we have found repeating patterns in the years such as a decrease of bookings at the start and end of the year, we have also identified the main players when it comes to reservations being: Portugal, Great Britain, Germany and Spain.<br><br>We have also seen how certain events such as a terrorist attack in another country or the portuguese beach soccerteam becoming world champion can impact local and foreign reservations<br><br>Finally, we have seen that people tend to book more City Hotel than Resort Hotel.",11,0
"February","CN","Introduction of the “coca-cola” tax on sugary drinks. The aim is to reduce sugar consumption by the Portuguese population. The revenue generated by this tax will be used for the national health service.<br><br>This could explain why there has been a decrease in portuguese bookings for Resort Hotel and an increase in reservations for City Hotel.<br><br>Similar to what happened in 2016 there is an increase in bookings from France and Spain which shows a tendency, additionally, the increase on bookings from Great Britain has started a month earlier than what happened in the previous year.",3,8
"February","ROU","Introduction of the “coca-cola” tax on sugary drinks. The aim is to reduce sugar consumption by the Portuguese population. The revenue generated by this tax will be used for the national health service.<br><br>This could explain why there has been a decrease in portuguese bookings for Resort Hotel and an increase in reservations for City Hotel.<br><br>Similar to what happened in 2016 there is an increase in bookings from France and Spain which shows a tendency, additionally, the increase on bookings from Great Britain has started a month earlier than what happened in the previous year.",10,1
"February","RUS","Introduction of the “coca-cola” tax on sugary drinks. The aim is to reduce sugar consumption by the Portuguese population. The revenue generated by this tax will be used for the national health service.<br><br>This could explain why there has been a decrease in portuguese bookings for Resort Hotel and an increase in reservations for City Hotel.<br><br>Similar to what happened in 2016 there is an increase in bookings from France and Spain which shows a tendency, additionally, the increase on bookings from Great Britain has started a month earlier than what happened in the previous year.",9,2
"February","SWE","Introduction of the “coca-cola” tax on sugary drinks. The aim is to reduce sugar consumption by the Portuguese population. The revenue generated by this tax will be used for the national health service.<br><br>This could explain why there has been a decrease in portuguese bookings for Resort Hotel and an increase in reservations for City Hotel.<br><br>Similar to what happened in 2016 there is an increase in bookings from France and Spain which shows a tendency, additionally, the increase on bookings from Great Britain has started a month earlier than what happened in the previous year.",6,5
"January","JPN","Similarly to the previous year there is a decrease in bookings from foreign countries with respect to December of the previous year but, unlike what happened on January 2016, there has been an increase of portuguese bookings for the Resort Hotel.",10,1
"January","SWE","Similarly to the previous year there is a decrease in bookings from foreign countries with respect to December of the previous year but, unlike what happened on January 2016, there has been an increase of portuguese bookings for the Resort Hotel.",8,3
"June","ARG","A huge fire breaks out in Pedrogão Grande, burning more than 530,000 hectares and killing 64 people. The biggest and deadliest forest fire in the country’s history.<br><br>This could explain why the ammount of bookings has decreased from the previous month,.",5,6
"April","IND","Portuguese bookings have decreased drastically.",3,7
"February","JPN","Introduction of the “coca-cola” tax on sugary drinks. The aim is to reduce sugar consumption by the Portuguese population. The revenue generated by this tax will be used for the national health service.<br><br>This could explain why there has been a decrease in portuguese bookings for Resort Hotel and an increase in reservations for City Hotel.<br><br>Similar to what happened in 2016 there is an increase in bookings from France and Spain which shows a tendency, additionally, the increase on bookings from Great Britain has started a month earlier than what happened in the previous year.",9,1
"January","ARG","Similarly to the previous year there is a decrease in bookings from foreign countries with respect to December of the previous year but, unlike what happened on January 2016, there has been an increase of portuguese bookings for the Resort Hotel.",7,3
"June","HUN","A huge fire breaks out in Pedrogão Grande, burning more than 530,000 hectares and killing 64 people. The biggest and deadliest forest fire in the country’s history.<br><br>This could explain why the ammount of bookings has decreased from the previous month,.",5,5
"June","JPN","A huge fire breaks out in Pedrogão Grande, burning more than 530,000 hectares and killing 64 people. The biggest and deadliest forest fire in the country’s history.<br><br>This could explain why the ammount of bookings has decreased from the previous month,.",9,1
"August","MAR","Similar to 2016, Spain has surpased Germany in ammount of bookings.<br><br>Throughout this analysis we have found repeating patterns in the years such as a decrease of bookings at the start and end of the year, we have also identified the main players when it comes to reservations being: Portugal, Great Britain, Germany and Spain.<br><br>We have also seen how certain events such as a terrorist attack in another country or the portuguese beach soccerteam becoming world champion can impact local and foreign reservations<br><br>Finally, we have seen that people tend to book more City Hotel than Resort Hotel.",4,5
"January","NOR","Similarly to the previous year there is a decrease in bookings from foreign countries with respect to December of the previous year but, unlike what happened on January 2016, there has been an increase of portuguese bookings for the Resort Hotel.",9,0
"July","ZAF","Portugal becomes th country with more reservations again and there is an increase in City Hotel reservations from Germany.",4,5
"March","LUX","The airport on the Portuguese island of Madeira was renamed ” Aeroporto Cristiano Ronaldo“, the player’s hometown. A bust of the player was also installed, but this caused controversy due to its “non-resemblance” to the player.<br><br>This could explain the sudden increase on bookings from France surpasing even portuguese reservations.",8,1
"March","ROU","The airport on the Portuguese island of Madeira was renamed ” Aeroporto Cristiano Ronaldo“, the player’s hometown. A bust of the player was also installed, but this caused controversy due to its “non-resemblance” to the player.<br><br>This could explain the sudden increase on bookings from France surpasing even portuguese reservations.",8,1
"May","DNK","Portugal commemorates 100 years since the Fatima apparitions. An event marked by the presence of Pope Francis at the shrine to canonize Francisco and Jacinta, two of the three shepherds to whom the Virgin is said to have appeared in 1917. This is the sixth time a pope has visited Fatima, Portugal.<br><br>Furthermore, Portugal wins the Eurovision Song Contest with the song ” Amar pelos dois ” sung by Salvador Sobral. Portugal has been taking part in the contest since 1964, and it’s only in 2017 that the country experiences its first victory.<br><br>Zooming in on the plot we can see that aside from the increase in bookings from Great Britain, France, and Germany; There has been a small increase in the ammount of bookings frome Ireland in comparison to the previous months.",8,1
"May","LUX","Portugal commemorates 100 years since the Fatima apparitions. An event marked by the presence of Pope Francis at the shrine to canonize Francisco and Jacinta, two of the three shepherds to whom the Virgin is said to have appeared in 1917. This is the sixth time a pope has visited Fatima, Portugal.<br><br>Furthermore, Portugal wins the Eurovision Song Contest with the song ” Amar pelos dois ” sung by Salvador Sobral. Portugal has been taking part in the contest since 1964, and it’s only in 2017 that the country experiences its first victory.<br><br>Zooming in on the plot we can see that aside from the increase in bookings from Great Britain, France, and Germany; There has been a small increase in the ammount of bookings frome Ireland in comparison to the previous months.",9,0
"April","ARG","Portuguese bookings have decreased drastically.",6,2
"April","LUX","Portuguese bookings have decreased drastically.",7,1
"August","HUN","Similar to 2016, Spain has surpased Germany in ammount of bookings.<br><br>Throughout this analysis we have found repeating patterns in the years such as a decrease of bookings at the start and end of the year, we have also identified the main players when it comes to reservations being: Portugal, Great Britain, Germany and Spain.<br><br>We have also seen how certain events such as a terrorist attack in another country or the portuguese beach soccerteam becoming world champion can impact local and foreign reservations<br><br>Finally, we have seen that people tend to book more City Hotel than Resort Hotel.",6,2
"January","DNK","Similarly to the previous year there is a decrease in bookings from foreign countries with respect to December of the previous year but, unlike what happened on January 2016, there has been an increase of portuguese bookings for the Resort Hotel.",7,1
"January","KOR","Similarly to the previous year there is a decrease in bookings from foreign countries with respect to December of the previous year but, unlike what happened on January 2016, there has been an increase of portuguese bookings for the Resort Hotel.",8,0
"January","MAR","Similarly to the previous year there is a decrease in bookings from foreign countries with respect to December of the previous year but, unlike what happened on January 2016, there has been an increase of portuguese bookings for the Resort Hotel.",5,3
"July","CZE","Portugal becomes th country with more reservations again and there is an increase in City Hotel reservations from Germany.",7,1
"April","LTU","Portuguese bookings have decreased drastically.",5,2
"February","KOR","Introduction of the “coca-cola” tax on sugary drinks. The aim is to reduce sugar consumption by the Portuguese population. The revenue generated by this tax will be used for the national health service.<br><br>This could explain why there has been a decrease in portuguese bookings for Resort Hotel and an increase in reservations for City Hotel.<br><br>Similar to what happened in 2016 there is an increase in bookings from France and Spain which shows a tendency, additionally, the increase on bookings from Great Britain has started a month earlier than what happened in the previous year.",5,2
"January","LTU","Similarly to the previous year there is a decrease in bookings from foreign countries with respect to December of the previous year but, unlike what happened on January 2016, there has been an increase of portuguese bookings for the Resort Hotel.",6,1
"July","ARG","Portugal becomes th country with more reservations again and there is an increase in City Hotel reservations from Germany.",6,1
"July","COL","Portugal becomes th country with more reservations again and there is an increase in City Hotel reservations from Germany.",5,2
"July","MAR","Portugal becomes th country with more reservations again and there is an increase in City Hotel reservations from Germany.",4,3
"July","MOZ","Portugal becomes th country with more reservations again and there is an increase in City Hotel reservations from Germany.",7,0
"June","NZL","A huge fire breaks out in Pedrogão Grande, burning more than 530,000 hectares and killing 64 people. The biggest and deadliest forest fire in the country’s history.<br><br>This could explain why the ammount of bookings has decreased from the previous month,.",5,2
"March","TUR","The airport on the Portuguese island of Madeira was renamed ” Aeroporto Cristiano Ronaldo“, the player’s hometown. A bust of the player was also installed, but this caused controversy due to its “non-resemblance” to the player.<br><br>This could explain the sudden increase on bookings from France surpasing even portuguese reservations.",7,0
"May","CZE","Portugal commemorates 100 years since the Fatima apparitions. An event marked by the presence of Pope Francis at the shrine to canonize Francisco and Jacinta, two of the three shepherds to whom the Virgin is said to have appeared in 1917. This is the sixth time a pope has visited Fatima, Portugal.<br><br>Furthermore, Portugal wins the Eurovision Song Contest with the song ” Amar pelos dois ” sung by Salvador Sobral. Portugal has been taking part in the contest since 1964, and it’s only in 2017 that the country experiences its first victory.<br><br>Zooming in on the plot we can see that aside from the increase in bookings from Great Britain, France, and Germany; There has been a small increase in the ammount of bookings frome Ireland in comparison to the previous months.",6,1
"May","GRC","Portugal commemorates 100 years since the Fatima apparitions. An event marked by the presence of Pope Francis at the shrine to canonize Francisco and Jacinta, two of the three shepherds to whom the Virgin is said to have appeared in 1917. This is the sixth time a pope has visited Fatima, Portugal.<br><br>Furthermore, Portugal wins the Eurovision Song Contest with the song ” Amar pelos dois ” sung by Salvador Sobral. Portugal has been taking part in the contest since 1964, and it’s only in 2017 that the country experiences its first victory.<br><br>Zooming in on the plot we can see that aside from the increase in bookings from Great Britain, France, and Germany; There has been a small increase in the ammount of bookings frome Ireland in comparison to the previous months.",7,0
"May","IND","Portugal commemorates 100 years since the Fatima apparitions. An event marked by the presence of Pope Francis at the shrine to canonize Francisco and Jacinta, two of the three shepherds to whom the Virgin is said to have appeared in 1917. This is the sixth time a pope has visited Fatima, Portugal.<br><br>Furthermore, Portugal wins the Eurovision Song Contest with the song ” Amar pelos dois ” sung by Salvador Sobral. Portugal has been taking part in the contest since 1964, and it’s only in 2017 that the country experiences its first victory.<br><br>Zooming in on the plot we can see that aside from the increase in bookings from Great Britain, France, and Germany; There has been a small increase in the ammount of bookings frome Ireland in comparison to the previous months.",2,5
"May","MEX","Portugal commemorates 100 years since the Fatima apparitions. An event marked by the presence of Pope Francis at the shrine to canonize Francisco and Jacinta, two of the three shepherds to whom the Virgin is said to have appeared in 1917. This is the sixth time a pope has visited Fatima, Portugal.<br><br>Furthermore, Portugal wins the Eurovision Song Contest with the song ” Amar pelos dois ” sung by Salvador Sobral. Portugal has been taking part in the contest since 1964, and it’s only in 2017 that the country experiences its first victory.<br><br>Zooming in on the plot we can see that aside from the increase in bookings from Great Britain, France, and Germany; There has been a small increase in the ammount of bookings frome Ireland in comparison to the previous months.",7,0
"April","URY","Portuguese bookings have decreased drastically.",6,0
"August","FIN","Similar to 2016, Spain has surpased Germany in ammount of bookings.<br><br>Throughout this analysis we have found repeating patterns in the years such as a decrease of bookings at the start and end of the year, we have also identified the main players when it comes to reservations being: Portugal, Great Britain, Germany and Spain.<br><br>We have also seen how certain events such as a terrorist attack in another country or the portuguese beach soccerteam becoming world champion can impact local and foreign reservations<br><br>Finally, we have seen that people tend to book more City Hotel than Resort Hotel.",5,1
"August","PHL","Similar to 2016, Spain has surpased Germany in ammount of bookings.<br><br>Throughout this analysis we have found repeating patterns in the years such as a decrease of bookings at the start and end of the year, we have also identified the main players when it comes to reservations being: Portugal, Great Britain, Germany and Spain.<br><br>We have also seen how certain events such as a terrorist attack in another country or the portuguese beach soccerteam becoming world champion can impact local and foreign reservations<br><br>Finally, we have seen that people tend to book more City Hotel than Resort Hotel.",0,6
"August","TUR","Similar to 2016, Spain has surpased Germany in ammount of bookings.<br><br>Throughout this analysis we have found repeating patterns in the years such as a decrease of bookings at the start and end of the year, we have also identified the main players when it comes to reservations being: Portugal, Great Britain, Germany and Spain.<br><br>We have also seen how certain events such as a terrorist attack in another country or the portuguese beach soccerteam becoming world champion can impact local and foreign reservations<br><br>Finally, we have seen that people tend to book more City Hotel than Resort Hotel.",3,3
"February","AGO","Introduction of the “coca-cola” tax on sugary drinks. The aim is to reduce sugar consumption by the Portuguese population. The revenue generated by this tax will be used for the national health service.<br><br>This could explain why there has been a decrease in portuguese bookings for Resort Hotel and an increase in reservations for City Hotel.<br><br>Similar to what happened in 2016 there is an increase in bookings from France and Spain which shows a tendency, additionally, the increase on bookings from Great Britain has started a month earlier than what happened in the previous year.",4,2
"January","HRV","Similarly to the previous year there is a decrease in bookings from foreign countries with respect to December of the previous year but, unlike what happened on January 2016, there has been an increase of portuguese bookings for the Resort Hotel.",6,0
"July","IND","Portugal becomes th country with more reservations again and there is an increase in City Hotel reservations from Germany.",5,1
"June","IND","A huge fire breaks out in Pedrogão Grande, burning more than 530,000 hectares and killing 64 people. The biggest and deadliest forest fire in the country’s history.<br><br>This could explain why the ammount of bookings has decreased from the previous month,.",6,0
